,Main_sector,new_permalink,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd,permalink,name,homepage_url,category_list,status,country_code,state_code,region,city,founded_at,Primary_sector,total_count,total_amount_invested
530,Cleantech / Semiconductors,/organization/ btcjam,/ORGANIZATION/BTCJAM,/funding-round/042dcf4d0ceeeb14003bdf27ebf0ab6c,venture,A,24-12-2014,6100000.00,/Organization/Btcjam,BTCjam,http://btcjam.com,Bitcoin|Consumer Lending|Finance,operating,USA,CA,SF Bay Area,San Francisco,1/10/2013,Bitcoin,1950,17796003033
531,Cleantech / Semiconductors,/organization/ liposonix,/organization/liposonix,/funding-round/32aecbaa06124206b33f6776a861feac,venture,B,11/10/2002,9935003.00,/Organization/Liposonix,LipoSonix,http://www.liposonix.com,Biotechnology,acquired,USA,WA,Seattle,Bothell,1/1/1999,Biotechnology,1950,17796003033
532,Cleantech / Semiconductors,/organization/ energ2,/ORGANIZATION/ENERG2,/funding-round/33a500b506ade908d7a488875633fcaf,venture,A,4/11/2008,8500000.00,/Organization/Energ2,EnerG2,http://www.energ2.com,Clean Technology,operating,USA,WA,Seattle,Seattle,1/1/2003,Clean Technology,1950,17796003033
533,Cleantech / Semiconductors,/organization/ amphora-medical,/organization/amphora-medical,/funding-round/8ca98be02c5046ebbf501a091ca209f3,venture,NA,15-07-2015,12782106.00,/Organization/Amphora-Medical,Amphora Medical,http://amphoramedical.com/,Biotechnology,operating,USA,MN,Minneapolis,Minneapolis,1/1/2011,Biotechnology,1950,17796003033
534,Cleantech / Semiconductors,/organization/ rapid-micro-biosystems,/ORGANIZATION/RAPID-MICRO-BIOSYSTEMS,/funding-round/3124a63a706f67836b848b5f4260f1eb,venture,NA,11/4/2014,6001413.00,/Organization/Rapid-Micro-Biosystems,Rapid Micro Biosystems,http://www.rapidmicrobio.com,Biotechnology,operating,USA,MA,Boston,Bedford,1/1/2006,Biotechnology,1950,17796003033
535,Cleantech / Semiconductors,/organization/ rapid-micro-biosystems,/organization/rapid-micro-biosystems,/funding-round/5da904752097d99d7163f6310b130c20,venture,NA,22-09-2010,6700000.00,/Organization/Rapid-Micro-Biosystems,Rapid Micro Biosystems,http://www.rapidmicrobio.com,Biotechnology,operating,USA,MA,Boston,Bedford,1/1/2006,Biotechnology,1950,17796003033
536,Cleantech / Semiconductors,/organization/ enernoc,/organization/enernoc,/funding-round/c808406e44149abbb3443182f7511ef3,venture,B,27-01-2005,7750000.00,/Organization/Enernoc,EnerNOC,http://www.enernoc.com,Clean Energy|Clean Technology|Energy Efficiency|Software,ipo,USA,MA,Boston,Boston,1/1/2001,Clean Energy,1950,17796003033
537,Cleantech / Semiconductors,/organization/ kilopass,/ORGANIZATION/KILOPASS,/funding-round/15f231c7d1bfe67a5aac6b120f071393,venture,C,1/10/2005,8800000.00,/Organization/Kilopass,Kilopass,http://www.kilopass.com,Semiconductors,operating,USA,CA,SF Bay Area,Santa Clara,1/1/2001,Semiconductors,1950,17796003033
538,Cleantech / Semiconductors,/organization/ project-frog,/ORGANIZATION/PROJECT-FROG,/funding-round/d32f984590821930b1951a4010658bd5,venture,B,19-11-2008,8000000.00,/Organization/Project-Frog,Project Frog,http://www.projectfrog.com,Clean Technology,operating,USA,CA,SF Bay Area,San Francisco,1/1/2006,Clean Technology,1950,17796003033
539,Cleantech / Semiconductors,/organization/ algisys,/ORGANIZATION/ALGISYS,/funding-round/dc4fdf8e5abc9e233c8464ef1e442965,venture,NA,14-08-2013,6153863.00,/Organization/Algisys,Algisys,http://algisys.com,Biotechnology,operating,USA,OH,Cleveland,Cleveland,1/1/2009,Biotechnology,1950,17796003033
540,Cleantech / Semiconductors,/organization/ tarsa-therapeutics,/organization/tarsa-therapeutics,/funding-round/3e0ae22750adc5a481c75f4a3ae87a85,venture,B,29-05-2014,7000000.00,/Organization/Tarsa-Therapeutics,Tarsa Therapeutics,http://www.tarsatherapeutics.com,Biotechnology,operating,USA,PA,Philadelphia,Philadelphia,1/1/2009,Biotechnology,1950,17796003033
541,Cleantech / Semiconductors,/organization/ solexel-inc,/ORGANIZATION/SOLEXEL-INC,/funding-round/b9c69925737f4df7fe67690cf3931b33,venture,C,1/7/2012,10759800.00,/Organization/Solexel-Inc,Solexel,http://solexel.com,Clean Technology,operating,USA,CA,SF Bay Area,Milpitas,1/1/2005,Clean Technology,1950,17796003033
542,Cleantech / Semiconductors,/organization/ global-locate,/ORGANIZATION/GLOBAL-LOCATE,/funding-round/f46910ef5777f1c9c5c8d3ffc078a0c4,venture,E,18-10-2006,8000000.00,/Organization/Global-Locate,Global Locate,NA,Semiconductors,acquired,USA,CA,SF Bay Area,San Jose,1/1/1999,Semiconductors,1950,17796003033
543,Cleantech / Semiconductors,/organization/ accuri-cytometers,/organization/accuri-cytometers,/funding-round/7f242a074091188bd3bad18acd87ed55,venture,C,8/7/2008,13000000.00,/Organization/Accuri-Cytometers,Accuri Cytometers,http://www.accuricytometers.com,Biotechnology,operating,USA,MI,Detroit,Ann Arbor,NA,Biotechnology,1950,17796003033
544,Cleantech / Semiconductors,/organization/ elixir-pharmaceuticals,/ORGANIZATION/ELIXIR-PHARMACEUTICALS,/funding-round/8f65901bb8c307132fa8e05aba5cca02,venture,D,27-05-2009,12000000.00,/Organization/Elixir-Pharmaceuticals,Elixir Pharmaceuticals,http://elixirpharm.com,Biotechnology|Diabetes|Pharmaceuticals,closed,USA,MA,Boston,Cambridge,1/1/1999,Biotechnology,1950,17796003033
